	Visual Properties						Labels				Layout						Graph Metrics									Do Not Edit		Other Columns																		
Vertex	Color	Shape	Size	Opacity	Image File	Visibility	Label	Label Fill Color	Label Position	Tooltip	Layout Order	X	Y	Locked?	Polar R	Polar Angle	Degree	In-Degree	Out-Degree	Betweenness Centrality	Closeness Centrality	Eigenvector Centrality	PageRank	Clustering Coefficient	Reciprocated Vertex Pair Ratio	ID	Dynamic Filter	Add Your Own Columns Here	Followed	Followers	Tweets	Favorites	Time Zone UTC Offset (Seconds)	Description	Location	Web	Time Zone	Joined Twitter Date (UTC)	Custom Menu Item Text	Custom Menu Item Action	Tweeted Search Term?	User of Interest?				
calebbarlow					http://pbs.twimg.com/profile_images/449617863754522624/tg0pbtf-_normal.jpeg					"calebbarlow

"																			6720	11832	2001	5	-14400	"Mobile security enthusiast, public speaker, Internet Radio host, manage a gaggle of wild ducks at IBM | tweets r own"	Massachusetts	http://t.co/6XgqTTxjRN	Eastern Time (US & Canada)	40192.90308	Open Twitter Page for This Person	https://twitter.com/calebbarlow	No					
hlfbloodtribute					http://pbs.twimg.com/profile_images/517405587026345984/Ub0ih5rr_normal.png					"hlfbloodtribute

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			6688	9178	130879	1992	-7200	[cronos's voice] qual a doença desse diretor que acha que eu sou feito de lego?	casada com a @gozapercabeth		Brasilia	40764.73839	Open Twitter Page for This Person	https://twitter.com/hlfbloodtribute	Yes					
joshuapaulramey					http://pbs.twimg.com/profile_images/493104107025354752/iiRacKFY_normal.jpeg					"joshuapaulramey

@glipsman The big thing they need
help with is the Christmas season
with the new iPhone, 5k iMac &amp;
Apple Watch. It's going to be a
lot :)"																			278	137	865	361	-14400	Cameraman & Lover Of The Light • 2x BENNY Award Winner • U.S. Naval Academy Alumnus • Filmed NCAA FB for CBS • ? Works at Apple	"Washington, DC"	http://t.co/y0jLXeV8zl	Eastern Time (US & Canada)	39867.06543	Open Twitter Page for This Person	https://twitter.com/joshuapaulramey	Yes					
glipsman					http://pbs.twimg.com/profile_images/2539870655/pdu1qgyikt5i5extx38x_normal.jpeg					"glipsman

"																			263	183	1385	628	-25200	"English Major, Programmer, and Entreprenuer. Interested in how the world works. Tweets on tech trends • entreprenuership • marketing"	"Boulder, Colorado"	http://t.co/3UOIbUtxNf	Pacific Time (US & Canada)	40368.75472	Open Twitter Page for This Person	https://twitter.com/glipsman	No					
kbudd1					http://pbs.twimg.com/profile_images/2665918212/63bf41749089c52c808b7cd318644c29_normal.jpeg					"kbudd1

RT @ElevenDubcast: Oh right, the
iTunes thing. We figured it out,
update your bookmarks/RSS feeds
accordingly :) https://t.co/CB2vo7n1ar"																			75	64	60	10	-14400		"Comeblowus, Ohio"		Eastern Time (US & Canada)	39924.9108	Open Twitter Page for This Person	https://twitter.com/kbudd1	Yes					
jb_1d_am_es_lm					http://pbs.twimg.com/profile_images/518881726953947136/JY0Z1xCa_normal.jpeg					"jb_1d_am_es_lm

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			353	252	1756	2274		"5SOS Family, Mixer, Belieber, Mahomie, Directioner & Belieber forever :) 9/06/13 take me home tour. 30 de agosto llega ya!!!!!! :)"				41643.15834	Open Twitter Page for This Person	https://twitter.com/jb_1d_am_es_lm	Yes					
jill_limber					http://pbs.twimg.com/profile_images/2350202719/war43q4um8pwm24wybfj_normal.jpeg					"jill_limber

Local food: picked the last apple
off my tree and within 15 seconds
I was eating it--now that is local.
And organic. Too lazy to spray
:-)"																			49	200	113	2	-25200	"Romance Writer, editor at Boroughs Publishing Group"	San Diego	http://t.co/DwfDKFqEOG	Pacific Time (US & Canada)	40952.21046	Open Twitter Page for This Person	https://twitter.com/jill_limber	Yes					
terryireneblain					http://pbs.twimg.com/profile_images/525015916673638400/iuKpmxkd_normal.jpeg					"terryireneblain

RT @Jill_Limber: Local food: picked
the last apple off my tree and
within 15 seconds I was eating
it--now that is local. And organic.
Too l…"																			162	251	2258	55	-25200	"Romance writer, live with husband and two dogs.  Sons grown, married and moved away (sigh).  Love history, baseball and soccer, doing needlework and reading."	Southern California	http://t.co/NyZjArhHoA	Arizona	41389.99832	Open Twitter Page for This Person	https://twitter.com/terryireneblain	Yes					
1dareourlegends					http://pbs.twimg.com/profile_images/523541717400555520/9hiLet41_normal.jpeg					"1dareourlegends

RT @zaynmalik: UK, have you pre-orderded
Steal My Girl? :) http://t.co/Gu85h9G5eJ"																			1019	535	5239	7319	-7200	"DIRECTIONER FOREVER
@zaynmalik @Harry_Styles @NiallOfficial @Real_Liam_Payne @Louis_Tomlinson You are my everything You Make Me Strong!
Please follow me"	Directionerland		Brasilia	41455.1773	Open Twitter Page for This Person	https://twitter.com/1dareourlegends	Yes					
jeyce1999					http://pbs.twimg.com/profile_images/525872039631261696/I_niMg9g_normal.jpeg					"jeyce1999

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			209	237	3652	1005	-7200	Minha vida se resume em Justin Drew Bieber  ? insta: Jey_jdb Facebook: Jeyce Karoline 15 anos	SP-guarulhos		Brasilia	40871.94049	Open Twitter Page for This Person	https://twitter.com/jeyce1999	Yes					
jimeos					http://pbs.twimg.com/profile_images/378800000618252758/dda993a2826563bfdef779dc23fd65d5_normal.png					"jimeos

@Gnppn C facile. Tu prends ce que
Nokia faisait il y a 2 ans et tu
le transposes aujourd'hui chez
Apple ""Ceci est une révolution""
:D @ZaraA"																			196	294	22416	78	3600	"Webmestre @GameOnFR / Amateur de la presse papier jeux vidéo, cinéma / Fan de @SEGA et de @Nokia"	Green Hill Zone	http://t.co/InpUeQdn6P	Paris	40005.55675	Open Twitter Page for This Person	https://twitter.com/jimeos	Yes					
zaraa					http://pbs.twimg.com/profile_images/486271933240328192/_U1nDJbf_normal.jpeg					"zaraa

"																			835	9068	133627	67	3600	ElectronLibre // Haut Parleur // la suite bientôt ...	"iPhone: 45.800266,1.857407"	http://t.co/rNERhBe3Jl	Paris	39256.48618	Open Twitter Page for This Person	https://twitter.com/zaraa	No					
gnppn					http://pbs.twimg.com/profile_images/508912299923369985/HyO-xHDC_normal.jpeg					"gnppn

"																			572	1822	79916	231	3600	"Journaliste monotâche. Net-goinfre.
Pardon pour les fautes."	A l'ouest.	http://t.co/juMQEr2DFL	Paris	39911.0823	Open Twitter Page for This Person	https://twitter.com/gnppn	No					
vguery98					http://pbs.twimg.com/profile_images/525629869237866496/vMYMhCCW_normal.jpeg					"vguery98

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			250	54	377	544	7200				Athens	41515.9408	Open Twitter Page for This Person	https://twitter.com/vguery98	Yes					
2ndkauboy					http://pbs.twimg.com/profile_images/477105217641533441/BY2m0dRQ_normal.png					"2ndkauboy

Was wäre das Leben eines Webentswicklers
doch langweilig, käme #Apple nicht
immer mit neuen ""Verbesserungen""
daher :) http://t.co/AX8CrAODLl"																			135	201	1598	433	3600	"Webentwickler, Blogger, WordPress-Plugin-Autor, WordPress-Meetup-Organisator, Wahlberliner"	Berlin	http://t.co/qpPHRdV1Zs	Berlin	39987.43682	Open Twitter Page for This Person	https://twitter.com/2ndkauboy	Yes					
zodiac1978					http://pbs.twimg.com/profile_images/2266791214/b4iz85dul5wndl9okwju_normal.png					"zodiac1978

RT @2ndKauBoy: Was wäre das Leben
eines Webentswicklers doch langweilig,
käme #Apple nicht immer mit neuen
""Verbesserungen"" daher :) http:/…"																			153	272	986	489	3600	"Webworker, Moderator im http://t.co/Z3JOKIYzYa und http://t.co/iHZG5Zvebc Supportforum, Co-Organisator WP Meetup Hamburg (#wphh) und WordCamp Hamburg (#wchh14)"	Hamburg	http://t.co/FyfBFyYnO6	Berlin	40256.71281	Open Twitter Page for This Person	https://twitter.com/zodiac1978	Yes					
mctvoficial					http://pbs.twimg.com/profile_images/2038845969/MCTVGroup.com_normal.gif					"mctvoficial

RT @IsaacMoraleja: Por si no lo
sabías, saqué mi 1er CD de Alabanza
hace 3 semanas. Descárgalo: http://t.co/s5vpym9KrZ
:) #Perspectiva htt…"																			264	53749	9386	12632	3600	"Lo Mejor de la MUSICA CRISTIANA en Música Cristiana TV #MCTV!
Síguenos para saber las novedades de tus Artistas Cristianos Favoritos / Director: @IsaacMoraleja"	España	http://t.co/IsCD2lDbpK	Madrid	40497.7972	Open Twitter Page for This Person	https://twitter.com/mctvoficial	Yes					
imane_labsairi_					http://pbs.twimg.com/profile_images/516033001604780032/Kb4FZA0W_normal.jpeg					"imane_labsairi_

RT @Louis_Tomlinson: :) go get
it now !!!!! Please :) http://t.co/SdJtv1Lr6u"																			827	400	7409	928		One direction thank you for changing my life	canada	https://t.co/LFHqnRpzkx		41823.91979	Open Twitter Page for This Person	https://twitter.com/imane_labsairi_	Yes					
luisagsc_					http://pbs.twimg.com/profile_images/525653679773597697/0ngxFFCC_normal.jpeg					"luisagsc_

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			295	144	1097	273		Justin Bieber ??				40780.82131	Open Twitter Page for This Person	https://twitter.com/luisagsc_	Yes					
carolinaaaros					http://pbs.twimg.com/profile_images/527231524299874305/KAB_4WzU_normal.jpeg					"carolinaaaros

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			583	204	424	41	-10800	"I'M DIRECTIONER, 5SOSFAMILY,  THE JANOSKIANS ! ellos son mis idolos! okay! no me importa lo que digas."	argentina 	https://t.co/X6bwewjGhh	Buenos Aires	41597.90487	Open Twitter Page for This Person	https://twitter.com/carolinaaaros	Yes					
fireproofvevo					http://pbs.twimg.com/profile_images/525874184027525120/ZQ54hNQU_normal.png					"fireproofvevo

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			5961	6270	21934	777	-7200	wesley and keaton follows	"10th may, 2014"		Brasilia	40694.02372	Open Twitter Page for This Person	https://twitter.com/fireproofvevo	Yes					
rickylealgrande					http://pbs.twimg.com/profile_images/518190982366769154/cARV13UK_normal.jpeg					"rickylealgrande

Yo ya pedí #PerdónPerdón y tu ¿que
esperas? Entra y descarga la canción
en iTunes :) http://t.co/f0lT6fdo3D
@haashoficial"																			16956	20538	29372	16896	-14400	NEVER SAY NEVER ?  Ha*Ash is now following me. Follows you.	"Boca Raton, Florida"	http://t.co/gctLOpnPfY	Eastern Time (US & Canada)	41220.19979	Open Twitter Page for This Person	https://twitter.com/rickylealgrande	Yes					
haashoficial					http://pbs.twimg.com/profile_images/524998082795421696/rgBoLwG5_normal.jpeg					"haashoficial

"																			225	1951179	5342	138	-21600	#HaAshFansRule!! ?? #HaAsh1F		http://t.co/VuE1CGVMdi	Mexico City	39960.68396	Open Twitter Page for This Person	https://twitter.com/haashoficial	No					
haashsupport					http://pbs.twimg.com/profile_images/525007790075822080/y9VxCIos_normal.jpeg					"haashsupport

RT @rickylealgrande: Yo ya pedí
#PerdónPerdón y tu ¿que esperas?
Entra y descarga la canción en
iTunes :) http://t.co/f0lT6fdo3D
@haashofic…"																			2441	2841	1557	4124	-14400	Noviembre 11 'Ha*Ash Primera Fila Hecho Realidad' disponible en tiendas. :) @HaAshOficial	"Lake Charles, Louisiana"	https://t.co/aPuZgNTNG1	Eastern Time (US & Canada)	41655.71113	Open Twitter Page for This Person	https://twitter.com/haashsupport	Yes					
rickyandariana					http://pbs.twimg.com/profile_images/522911485337817088/FfNinxl2_normal.jpeg					"rickyandariana

RT @rickylealgrande: Yo ya pedí
#PerdónPerdón y tu ¿que esperas?
Entra y descarga la canción en
iTunes :) http://t.co/f0lT6fdo3D
@haashofic…"																			549	804	565	3	-18000	La falta de actividad sexual puede causar concecuencias como el crecimiento de cuernos. @HaAshOficial	"A 3,560K de mi novia"	http://t.co/qOmjiCSiU7	Central Time (US & Canada)	41754.99193	Open Twitter Page for This Person	https://twitter.com/rickyandariana	Yes					
btw_louis_ly					http://pbs.twimg.com/profile_images/521789017935712257/AN1F5fYK_normal.png					"btw_louis_ly

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			886	646	6765	7943	0	"Then, you fall in love with a lot of people and all of them are just too far away. ? ??jee I MISS YOU, I NEED YOU??"	"Wanting London, Wishing London"	http://t.co/bJtuyXVRyO	Lisbon	41467.60292	Open Twitter Page for This Person	https://twitter.com/btw_louis_ly	Yes					
mermaidlover200					http://pbs.twimg.com/profile_images/454355011074416640/IAKIzSRu_normal.png					"mermaidlover200

I am smarter than zhu283 :) http://t.co/Vcj5wCVS5R
http://t.co/tXcHj6fCqa"																			15	15	26	1						41739.84559	Open Twitter Page for This Person	https://twitter.com/mermaidlover200	Yes					
isabellabsoarp					http://pbs.twimg.com/profile_images/526461325954670592/N8S5ZLX2_normal.jpeg					"isabellabsoarp

@SgtTig I'm having apple pie alamode
:)"																			288	335	10482	11344		Making a life for myself in Charming. #Single {21+ SOARP Mature Content Multi-SL} My Story http://t.co/zlOxB0VK33	Las Vegas/Charming 			41819.08641	Open Twitter Page for This Person	https://twitter.com/isabellabsoarp	Yes					
sgttig					http://pbs.twimg.com/profile_images/526944212290654208/A_e0G0aN_normal.jpeg					"sgttig

"																			322	242	1155	439		"Loyal Sgt at Arms for Samcro || Fears nothing, except dolls || Dog lover || #SOA RP || 21+ || #CharmingSAMCRO #Fawn #Dawnie and #Allie"	Charming	http://t.co/c6DtjMfQU5		41932.62579	Open Twitter Page for This Person	https://twitter.com/sgttig	No					
stealperry					http://pbs.twimg.com/profile_images/526361171637465089/zBrrlYh-_normal.png					"stealperry

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			7369	8137	66972	3328	-7200	Relaxa e goza que o vibrador da Demi é rosa	Katy Perry	http://t.co/2J9FKfI7sO	Brasilia	41473.63618	Open Twitter Page for This Person	https://twitter.com/stealperry	Yes					
aruetsuto					http://pbs.twimg.com/profile_images/525622045413888000/HdzCkLbM_normal.png					"aruetsuto

@Girasmax @Acid08 I'll never trade
these babies! I prefer apple earbuds
anyway :P"																			116	111	2678	2522		Commission status: [CLOSED]. PersonaGAF. College student. I like to draw. Full commission Info: http://t.co/hiXWWDTk5L	United States	http://t.co/l2FZBUTYrs		41804.0556	Open Twitter Page for This Person	https://twitter.com/aruetsuto	Yes					
acid08					http://pbs.twimg.com/profile_images/526229112105336832/sDPo4L26_normal.png					"acid08

"																			123	43	2586	195	-25200	aspiring human being	"Bay Area, CA"	http://t.co/utvyFSoGCr	Pacific Time (US & Canada)	39644.1851	Open Twitter Page for This Person	https://twitter.com/acid08	No					
girasmax					http://pbs.twimg.com/profile_images/521189770597134336/yd77hTEY_normal.jpeg					"girasmax

"																			98	82	1623	425		Caladrius on NeoGAF.. Excessive exposure will turn active personnel into moeblobs.	Cloud Cuckooland			40296.98866	Open Twitter Page for This Person	https://twitter.com/girasmax	No					
acousticlights					http://pbs.twimg.com/profile_images/527237903676473344/w8gCpcB__normal.jpeg					"acousticlights

RT @zaynmalik: :) http://t.co/Gu85h9G5eJ
x"																			4064	5571	12103	5525	28800	I shall call him squishy and he shall be mine and he shall be my squishy.	ph	http://t.co/etqzSvygSD	Beijing	41570.46236	Open Twitter Page for This Person	https://twitter.com/acousticlights	Yes					
_believeinjayb_					http://pbs.twimg.com/profile_images/527163102757142528/N3E3s_Az_normal.jpeg					"_believeinjayb_

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			1531	1006	9414	960		"Believe in yourself, and never stop dreaming ;) Once a belieber always a belieber! #StayStrong !! Belieber and Lovatic ? 5sosfam"	France			41575.59578	Open Twitter Page for This Person	https://twitter.com/_believeinjayb_	Yes					
justiinfeat1d					http://pbs.twimg.com/profile_images/524358421139562497/KdZ0OyPH_normal.jpeg					"justiinfeat1d

RT @john: @scootdown I just moved
the TestFlight app into my ""Apple""
folder and it made me so happy/proud.
:)"																			4363	4793	35995	9128	-10800	"Fã do biba maconheiro, da gorda gileteira, dos 4 flopados e dos 5 gays. ;*"	? 02.11.2013 ? 	http://t.co/29pLAmma7N	Santiago	40725.92269	Open Twitter Page for This Person	https://twitter.com/justiinfeat1d	Yes					
sabydm					http://pbs.twimg.com/profile_images/524914822534942720/sBSbyyk7_normal.jpeg					"sabydm

RT @Louis_Tomlinson: :) go get
it now !!!!! Please :) http://t.co/SdJtv1Lr6u"																			447	715	28285	17531		tmht 08.06.13 ?				40780.07716	Open Twitter Page for This Person	https://twitter.com/sabydm	Yes					
maritrinihdz					http://pbs.twimg.com/profile_images/526538751489503232/g03An2o4_normal.jpeg					"maritrinihdz

RT @rickylealgrande: Yo ya pedí
#PerdónPerdón y tu ¿que esperas?
Entra y descarga la canción en
iTunes :) http://t.co/f0lT6fdo3D
@haashofic…"																			943	1075	1626	600	-18000	"¡k-poper! *Mblaq Its mi life A+ de ? *BROKEN* 6th mini Album' Saranghae Joon, Mir, GO, Seung-ho, Thunder ?"	"Corea del Sur,  Seul"	http://t.co/GqJKg90Qlt	Central Time (US & Canada)	41101.00883	Open Twitter Page for This Person	https://twitter.com/maritrinihdz	Yes					
